date,hour,timestamp,country,price
2022/01/04,11:00 - 12:00,2022-01-04 11:00:00,belgium,182.42
2022/01/04,12:00 - 13:00,2022-01-04 12:00:00,belgium,182.46
2022/01/04,13:00 - 14:00,2022-01-04 13:00:00,belgium,179.59
2022/01/04,14:00 - 15:00,2022-01-04 14:00:00,belgium,179.0
2022/01/04,15:00 - 16:00,2022-01-04 15:00:00,belgium,180.93
2022/01/04,16:00 - 17:00,2022-01-04 16:00:00,belgium,166.69
2022/01/04,17:00 - 18:00,2022-01-04 17:00:00,belgium,189.88
2022/01/04,18:00 - 19:00,2022-01-04 18:00:00,belgium,184.94
2022/01/04,19:00 - 20:00,2022-01-04 19:00:00,belgium,178.99
2022/01/04,20:00 - 21:00,2022-01-04 20:00:00,belgium,156.12
2022/01/04,21:00 - 22:00,2022-01-04 21:00:00,belgium,144.9
2022/01/04,22:00 - 23:00,2022-01-04 22:00:00,belgium,137.92
2022/01/04,23:00 - 00:00,2022-01-04 23:00:00,belgium,98.1
2022/01/05,00:00 - 01:00,2022-01-05 00:00:00,belgium,114.37
2022/01/05,01:00 - 02:00,2022-01-05 01:00:00,belgium,106.72
2022/01/05,02:00 - 03:00,2022-01-05 02:00:00,belgium,84.5
2022/01/05,03:00 - 04:00,2022-01-05 03:00:00,belgium,75.38
2022/01/05,04:00 - 05:00,2022-01-05 04:00:00,belgium,79.11
2022/01/05,05:00 - 06:00,2022-01-05 05:00:00,belgium,94.79
2022/01/05,06:00 - 07:00,2022-01-05 06:00:00,belgium,90.21
2022/01/05,07:00 - 08:00,2022-01-05 07:00:00,belgium,139.0
2022/01/05,08:00 - 09:00,2022-01-05 08:00:00,belgium,181.61
2022/01/05,09:00 - 10:00,2022-01-05 09:00:00,belgium,168.02
2022/01/05,10:00 - 11:00,2022-01-05 10:00:00,belgium,157.55
2022/01/05,11:00 - 12:00,2022-01-05 11:00:00,belgium,161.72
2022/01/05,12:00 - 13:00,2022-01-05 12:00:00,belgium,140.0
2022/01/05,13:00 - 14:00,2022-01-05 13:00:00,belgium,144.03
2022/01/05,14:00 - 15:00,2022-01-05 14:00:00,belgium,170.59
2022/01/05,15:00 - 16:00,2022-01-05 15:00:00,belgium,206.51
2022/01/05,16:00 - 17:00,2022-01-05 16:00:00,belgium,217.07
2022/01/05,17:00 - 18:00,2022-01-05 17:00:00,belgium,240.55
2022/01/05,18:00 - 19:00,2022-01-05 18:00:00,belgium,240.0
2022/01/05,19:00 - 20:00,2022-01-05 19:00:00,belgium,220.0
2022/01/05,20:00 - 21:00,2022-01-05 20:00:00,belgium,200.1
2022/01/05,21:00 - 22:00,2022-01-05 21:00:00,belgium,151.97
2022/01/05,22:00 - 23:00,2022-01-05 22:00:00,belgium,182.35
